279.198	2.0157
288.274	3.7304
291.825	8.8
292.7	10.75
296.217	17.6917
297.092	19.6416
299.743	24.0874
301.529	26.0372
309.63	31.3402
315.971	33.2112
323.223	35.0822
333.21	36.7967
345.018	38.5109
367.753	40.3794
375.917	42.1722
383.169	44.0432
393.154	45.8357
401.325	47.2385
414.047	48.7966
431.326	50.1979
452.263	50.7407
478.699	49.4105
490.57	47.6926
501.536	45.6628
510.676	43.8673
520.726	42.1497
537.172	39.261
548.132	37.5432
559.092	35.8254
570.053	34.1076
581.013	32.3899
592.883	30.7499
602.016	29.3445
613.885	27.7045
625.756	25.9866
637.626	24.3467
650.406	22.7066
662.276	21.0667
676.877	19.4264
691.476	17.942
701.513	16.9264
717.021	15.52
733.439	14.1914
749.857	12.8627
767.184	11.612
785.421	10.3611
801.835	9.2665
820.071	8.0936
839.217	6.9986
858.361	5.9815
877.505	4.9645
896.648	4.0255
